sno,pm25,pm10,o3,no2,so2,co,lat,long,city,district,country
118,54,30,25,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
119,70,27,29,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
120,66,17,25,1,1,2,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
121,43,27,28,4,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
122,66,51,27,6,1,6,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
123,129,53,27,3,1,6,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
124,129,38,27,1,2,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
125,76,20,23,2,2,2,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
126,52,29,30,2,2,2,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
127,57,42,31,5,3,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
128,82,43,33,2,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
129,90,24,27,2,2,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
130,62,21,22,2,2,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
131,59,28,22,2,0,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
132,75,28,27,1,4,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
133,74,18,28,1,2,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
134,53,19,28,2,2,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
135,52,28,22,4,0,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
136,77,42,25,4,4,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
137,111,34,29,2,2,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
138,77,23,28,1,2,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
139,47,19,25,1,0,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
140,51,27,30,1,0,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
141,71,21,26,1,0,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
142,32,12,30,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
143,33,8,27,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
144,22,3,22,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
145,6,9,31,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
146,24,14,33,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
147,35,21,55,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
148,58,13,38,1,0,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
149,35,9,35,1,0,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
150,12,12,45,1,0,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
151,28,21,40,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
152,41,18,40,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
153,35,15,28,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
154,23,16,34,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
155,32,10,29,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
156,21,10,29,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
157,16,8,25,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
158,15,6,33,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
159,10,6,26,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
160,10,8,24,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
161,13,12,21,1,2,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
162,13,10,21,1,2,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
163,20,11,31,1,2,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
164,23,12,29,1,2,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
165,25,11,31,1,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
166,23,11,33,1,2,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
167,22,11,31,1,2,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
168,22,11,16,1,2,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
169,23,12,24,1,2,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
170,20,20,55,2,2,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
171,54,17,36,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
172,50,15,36,1,2,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
173,33,11,30,1,2,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
174,7,11,28,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
175,9,13,42,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
176,25,12,32,1,1,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
177,30,9,22,1,1,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
178,29,5,30,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
179,7,5,36,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
180,10,5,31,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
181,6,8,39,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
182,14,12,42,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
183,32,16,40,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
184,32,12,35,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
185,16,11,30,1,1,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
186,7,14,31,1,1,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
187,17,16,33,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
188,30,12,32,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
189,26,13,31,1,1,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
190,15,14,26,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
191,21,12,48,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
192,15,11,32,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
193,11,16,44,1,1,6,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
194,33,20,18,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
195,37,10,24,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
196,16,13,23,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
197,19,31,49,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
198,43,29,31,1,1,6,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
199,45,27,46,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
200,48,26,35,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
201,53,27,35,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
202,50,23,29,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
203,48,11,35,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
204,10,15,23,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
205,20,13,32,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
206,24,13,34,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
207,22,13,31,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
208,31,16,32,1,1,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
209,36,13,20,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
210,26,11,32,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
211,17,14,29,0,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
212,21,19,41,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
213,40,21,40,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
214,51,17,39,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
215,39,18,36,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
216,33,15,35,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
217,22,14,32,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
218,27,11,30,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
219,16,11,31,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
220,20,10,35,1,1,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
221,15,11,27,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
222,17,10,38,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
223,21,13,29,1,1,6,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
224,21,14,36,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
225,31,15,32,0,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
226,46,15,18,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
227,32,9,23,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
228,17,9,29,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
229,20,9,24,0,1,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
230,21,10,28,1,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
231,26,8,15,1,0,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
232,16,12,24,1,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
233,25,18,26,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
234,51,38,42,2,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
235,57,20,45,2,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
236,42,12,40,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
237,38,9,41,1,0,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
238,22,19,58,2,0,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
239,47,32,51,2,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
240,64,20,43,2,1,2,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
241,44,21,44,1,0,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
242,46,23,51,2,0,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
243,55,38,67,3,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
244,79,23,45,3,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
245,58,8,41,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
246,25,21,45,2,1,2,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
247,47,24,47,3,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
248,59,57,45,4,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
249,74,73,36,3,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
250,74,20,39,2,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
251,44,22,37,3,2,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
252,50,52,66,4,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
253,93,45,60,3,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
254,79,38,59,3,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
255,72,25,36,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
256,58,12,41,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
257,36,16,34,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
258,32,14,43,2,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
259,43,23,45,4,1,2,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
260,56,40,40,2,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
261,58,32,40,2,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
262,57,13,36,2,0,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
263,44,11,35,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
264,41,11,39,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
265,27,17,42,4,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
266,48,15,25,3,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
267,48,27,43,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
268,39,49,78,3,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
269,59,142,42,3,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
270,113,306,53,2,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
271,177,28,43,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
272,37,17,37,2,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
273,31,14,47,1,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
274,33,11,45,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
275,26,15,43,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
276,45,18,43,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
277,51,14,38,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
278,47,5,36,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
279,14,4,35,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
280,20,10,28,1,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
281,28,16,56,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
282,49,13,57,1,1,2,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
283,35,7,41,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
284,22,15,46,1,0,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
285,48,19,50,1,1,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
